Rsz;ido_mp;osszeg;fizetesi_mod
ABC-101;542;3890;kártya
DEF-102;1280;7250;készpénz
GHI-103;301;1990;utalás
JKL-104;845;5120;csekk
MNO-105;2200;10450;kártya
PQR-106;640;2780;készpénz
STU-107;1590;8350;utalás
VWX-108;410;2200;csekk
YZA-109;1325;6700;kártya
BCD-110;780;4900;készpénz
EFG-111;2560;13200;utalás
HIJ-112;900;5400;csekk
KLM-113;120;1600;kártya
NOP-114;1800;9200;készpénz
QRS-115;740;4600;utalás
TUV-116;2100;11500;csekk
WXY-117;560;3100;kártya
ZAB-118;970;5800;készpénz
CDE-119;1440;7800;utalás
FGH-120;660;3500;csekk
HIK-121;1880;9900;kártya
JLM-122;420;2600;készpénz
NOP-123;1100;6400;utalás
QRT-124;2500;14000;csekk
SUV-125;330;2100;kártya
TVW-126;870;5200;készpénz
WXY-127;1350;7600;utalás
XYZ-128;470;2800;csekk
YAB-129;1640;8800;kártya
ZCD-130;720;4100;készpénz
AEF-131;2020;10900;utalás
BGH-132;590;3300;csekk
CIJ-133;930;5700;kártya
DKL-134;1450;8100;készpénz
EMN-135;360;2400;utalás
FOP-136;1750;9500;csekk
GQR-137;680;3900;kártya
HST-138;1180;6900;készpénz
IUV-139;2600;15000;utalás
JWX-140;510;3000;csekk
KYZ-141;820;5000;kártya
LAB-142;1390;7900;készpénz
MCD-143;450;2700;utalás
NEF-144;1910;10200;csekk
OGH-145;610;3600;kártya
PIJ-146;1080;6500;készpénz
QKL-147;2300;12500;utalás
RMN-148;390;2500;csekk
SOP-149;950;5600;kártya
TQR-150;1520;8400;készpénz
UST-151;570;3200;utalás
VUV-152;1840;9800;csekk
WWX-153;740;4300;kártya
XYZ-154;1260;7200;készpénz
YZA-155;280;1800;utalás
ZBC-156;1680;9100;csekk
ACD-157;630;3700;kártya
BEF-158;980;5900;készpénz
CGH-159;1470;8200;utalás
DIJ-160;520;2900;csekk
EKL-161;2000;10800;kártya
FMN-162;690;4000;készpénz
GOP-163;1140;6700;utalás
HQR-164;2400;13100;csekk
IST-165;350;2200;kártya
JUV-166;860;5100;készpénz
KWX-167;1330;7500;utalás
LYZ-168;480;2800;csekk
MAB-169;1710;9300;kártya
NCD-170;760;4400;készpénz
OEF-171;1210;7000;utalás
PGH-172;2550;14200;csekk
QIJ-173;310;2000;kártya
RKL-174;920;5500;készpénz
SMN-175;1490;8300;utalás
TOP-176;540;3100;csekk
UQR-177;1860;9900;kártya
VST-178;650;3800;készpénz
WUV-179;1120;6600;utalás
XWX-180;2250;12000;csekk
YYZ-181;400;2600;kártya
ZAB-182;890;5300;készpénz
BCD-183;1370;7700;utalás
CEF-184;460;2700;csekk
DGH-185;1940;10400;kártya
EIJ-186;620;3600;készpénz
FKL-187;1050;6300;utalás
GMN-188;2480;13600;csekk
HOP-189;340;2100;kártya
IQR-190;970;5800;készpénz
JST-191;1430;8000;utalás
KUV-192;500;2900;csekk
LWX-193;1780;9600;kártya
MYZ-194;710;4200;készpénz
NAB-195;1170;6800;utalás
OCD-196;2320;12700;csekk
PEF-197;370;2300;kártya
QGH-198;840;5000;készpénz
RIJ-199;1310;7400;utalás
SKL-200;490;2800;csekk